RDA element,alignment,LRM element
related person of RDA entity,has broader,is associated with res
related person of timespan,has broader,is associated with time-span
related person of work,has broader,is associated with res
related place of agent,has broader,has association with place
related place of collective agent,has broader,has association with place
related place of corporate body,has broader,has association with place
related place of expression,has broader,has association with place
related place of family,has broader,has association with place
related place of item,has broader,has association with place
related place of manifestation,has broader,has association with place
related place of nomen,has broader,has association with place
related place of person,has broader,has association with place
related place of place,has broader,has association with place
related place of RDA entity,has equivalent,has association with place
related place of timespan,has broader,has association with place
related place of work,has broader,has association with place
related RDA entity of agent,has broader,is associated with res
related RDA entity of collective agent,has broader,is associated with res
related RDA entity of corporate body,has broader,is associated with res
related RDA entity of expression,has broader,is associated with res
related RDA entity of family,has broader,is associated with res
related RDA entity of item,has broader,is associated with res
related RDA entity of manifestation,has broader,is associated with res
related RDA entity of nomen,has broader,is associated with res
related RDA entity of person,has broader,is associated with res
related RDA entity of place,has equivalent,is associated with place
related RDA entity of RDA entity,has equivalent,is associated with res
related RDA entity of timespan,has equivalent,is associated with time-span
related RDA entity of work,has broader,is associated with res
related timespan of agent,has broader,has association with time-span
related timespan of collective agent,has broader,has association with time-span
related timespan of corporate body,has broader,has association with time-span
related timespan of expression,has broader,has association with time-span
related timespan of family,has broader,has association with time-span
related timespan of item,has broader,has association with time-span
related timespan of manifestation,has broader,has association with time-span
related timespan of nomen,has broader,has association with time-span
related timespan of person,has broader,has association with time-span
related timespan of place,has broader,has association with time-span
related timespan of RDA entity,has equivalent,has association with time-span
related timespan of timespan,has broader,has association with time-span
related timespan of work,has broader,has association with time-span
related work of agent,has broader,is associated with res
related work of collective agent,has broader,is associated with res
related work of corporate body,has broader,is associated with res
related work of expression,has broader,is associated with res
related work of family,has broader,is associated with res
related work of item,has broader,is associated with res
related work of manifestation,has broader,is associated with res
related work of nomen,has broader,is associated with res
related work of person,has broader,is associated with res
related work of place,has broader,is associated with place
related work of RDA entity,has broader,is associated with res
related work of timespan,has broader,is associated with time-span
related work of work,has broader,is associated with res
relief representation,has broader,has category of expression
remade as expression,has broader,is associated with res
remade as work,has broader,was transformed into
remake of expression,has broader,is associated with res
remake of work,has broader,is a transformation of
remix artist agent,has broader,was created by work
remix artist agent of,has broader,created work
remix artist collective agent,has broader,was created by work
remix artist collective agent of,has broader,created work
remix artist corporate body,has broader,was created by work
remix artist corporate body of,has broader,created work
remix artist family,has broader,was created by work
remix artist family of,has broader,created work
remix artist person,has broader,was created by work
remix artist person of,has broader,created work
replaced by expression,has broader,is derivation expression of
replaced by work,has broader,was transformed into
replaced in part by expression,has broader,is derivation expression of
replaced in part by work,has broader,was transformed into
replacement in part of expression,has broader,has derivation expression
replacement in part of work,has broader,is a transformation of
replacement of expression,has broader,has derivation expression
replacement of work,has broader,is a transformation of
representative expression,has broader,is realized through
representative expression of,has broader,realizes
reprint of item of,has broader,is reproduction item of
reprint of manifestation of,has broader,is reproduction manifestation of
reprinted as item,has broader,has reproduction item
reprinted as manifestation,has broader,has reproduction manifestation
reproduced as item,has equivalent,has reproduction item
reproduced as manifestation,has equivalent,has reproduction manifestation
reproduction of item of,has equivalent,is reproduction item of
reproduction of manifestation of,has equivalent,is reproduction manifestation of
research supervisor,has broader,was created by work
research supervisor of,has broader,created work
researcher agent,has broader,was created by work
researcher agent of,has broader,created work
researcher collective agent,has broader,was created by work
researcher collective agent of,has broader,created work
researcher corporate body,has broader,was created by work
researcher corporate body of,has broader,created work
researcher family,has broader,was created by work
researcher family of,has broader,created work
researcher person,has broader,was created by work
researcher person of,has broader,created work
resolution,has broader,has category of carrier
respondent,has broader,was created by work
respondent of,has broader,created work
restorationist agent of expression,has broader,was created by expression
restorationist agent of expression of,has broader,created expression
restorationist agent of item,has broader,was modified by
restorationist agent of item of,has broader,modified
restorationist collective agent of expression,has broader,was created by expression
restorationist collective agent of expression of,has broader,created expression
restorationist collective agent of item,has broader,was modified by
restorationist collective agent of item of,has broader,modified
restorationist corporate body of expression,has broader,was created by expression
restorationist corporate body of expression of,has broader,created expression
restorationist corporate body of item,has broader,was modified by
restorationist corporate body of item of,has broader,modified
restorationist family of expression,has broader,was created by expression
restorationist family of expression of,has broader,created expression
restorationist family of item,has broader,was modified by
restorationist family of item of,has broader,modified
restorationist person of expression,has broader,was created by expression
restorationist person of expression of,has broader,created expression
restorationist person of item,has broader,was modified by
restorationist person of item of,has broader,modified
restriction on access to item,has equivalent,has use rights of the item
restriction on access to manifestation,has equivalent,has use rights of the manifestation
restriction on use of item,has equivalent,has use rights of the item
restriction on use of manifestation,has equivalent,has use rights of the manifestation
review of expression,has broader,has as subject
review of manifestation,has broader,has as subject
review of RDA entity,has broader,has as subject
review of work,has broader,has as subject
revised as,has broader,has derivation expression
reviser agent,has broader,was created by expression
reviser agent of,has broader,created expression
reviser collective agent,has broader,was created by expression
reviser collective agent of,has broader,created expression
reviser corporate body,has broader,was created by expression
reviser corporate body of,has broader,created expression
reviser family,has broader,was created by expression
reviser family of,has broader,created expression
reviser person,has broader,was created by expression
reviser person of,has broader,created expression
revision of,has broader,is derivation expression of
right ascension,has broader,has category of work
right ascension and declination,has broader,has category of work
right ascension and declination of,has broader,is associated with place
scale,has broader,has extent of expression
scale designation,has broader,has category of expression
scale of representative expression,has broader,has representative expression attribute
scale of still image or three-dimensional form,has broader,has extent of expression
scheme of nomen,has equivalent,has scheme
scope of validity,has broader,has note
screenplay based on expression,has broader,is associated with res
screenplay based on work,has broader,is a transformation of
screenplay expression,has broader,is associated with res
screenplay for expression,has broader,is associated with res
screenplay for motion picture expression,has broader,is associated with res
screenplay for motion picture work,has broader,accompanies or complements
screenplay for television program expression,has broader,is associated with res
screenplay for television program work,has broader,accompanies or complements
screenplay for video expression,has broader,is associated with res
screenplay for video work,has broader,accompanies or complements
screenplay for work,has broader,accompanies or complements
screenplay work,has broader,accompanies or complements
screenwriter agent,has broader,was created by work
screenwriter agent of,has broader,created work
screenwriter collective agent,has broader,was created by work
screenwriter collective agent of,has broader,created work
screenwriter corporate body,has broader,was created by work
screenwriter corporate body of,has broader,created work
screenwriter family,has broader,was created by work
screenwriter family of,has broader,created work
screenwriter person,has broader,was created by work
screenwriter person of,has broader,created work
script,has broader,has category of expression
script for radio program expression,has broader,is associated with res
script for radio program work,has broader,accompanies or complements
script of nomen,has equivalent,has script
script of representative expression,has broader,has representative expression attribute
sculptor agent,has broader,was created by work
sculptor agent of,has broader,created work
sculptor collective agent,has broader,was created by work
sculptor collective agent of,has broader,created work
sculptor corporate body,has broader,was created by work
sculptor corporate body of,has broader,created work
sculptor family,has broader,was created by work
sculptor family of,has broader,created work
sculptor person,has broader,was created by work
sculptor person of,has broader,created work
seller agent,has broader,is owned by
seller agent of,has broader,owns
seller collective agent,has broader,is owned by
seller collective agent of,has broader,owns
seller corporate body,has broader,is owned by
seller corporate body of,has broader,owns
seller family,has broader,is owned by
seller family of,has broader,owns
seller person,has broader,is owned by
seller person of,has broader,owns
separated from expression,has broader,is associated with res
separated from work,has broader,is a transformation of
separated into expression,has broader,is associated with res
separated into work,has broader,was transformed into
sequel expression,has broader,is associated with res
sequel work,has broader,precedes work
sequential version,has broader,was transformed into
sequential version of,has broader,is a transformation of
serial number of musical work,has broader,has appellation
serial number of musical work of,has broader,is appellation of
serialized version,has broader,was transformed into
serialized version of,has broader,is a transformation of
series statement,has broader,has appellation
set to music as expression,has broader,is associated with res
set to music as work,has broader,was transformed into
singer agent,has broader,was created by expression
singer agent of,has broader,created expression
singer collective agent,has broader,was created by expression
singer collective agent of,has broader,created expression
singer corporate body,has broader,was created by expression
singer corporate body of,has broader,created expression
singer family,has broader,was created by expression
singer family of,has broader,created expression
singer person,has broader,was created by expression
singer person of,has broader,created expression
software developer agent,has broader,was created by expression
software developer agent of,has broader,created expression
software developer collective agent,has broader,was created by expression
software developer collective agent of,has broader,created expression
software developer corporate body,has broader,was created by expression
software developer corporate body of,has broader,created expression
software developer family,has broader,was created by expression
software developer family of,has broader,created expression
software developer person,has broader,was created by expression
software developer person of,has broader,created expression
sound characteristic,has broader,has access conditions
sound content,has broader,has note
sound content of representative expression,has broader,has representative expression attribute
sound designer agent,has broader,was created by expression
sound designer agent of,has broader,created expression
sound designer collective agent,has broader,was created by expression
sound designer collective agent of,has broader,created expression
sound designer corporate body,has broader,was created by expression
sound designer corporate body of,has broader,created expression
sound designer family,has broader,was created by expression
sound designer family of,has broader,created expression
sound designer person,has broader,was created by expression
sound designer person of,has broader,created expression
sounds for work,has broader,accompanies or complements
sounds work,has broader,accompanies or complements
source consulted,has broader,is associated with res
source consulted of,has broader,is associated with res
source expression,has equivalent,is derivation expression of
source work,has broader,is a transformation of
speaker agent,has broader,was created by expression
speaker agent of,has broader,created expression
speaker collective agent,has broader,was created by expression
speaker collective agent of,has broader,created expression
speaker corporate body,has broader,was created by expression
speaker corporate body of,has broader,created expression
speaker family,has broader,was created by expression
speaker family of,has broader,created expression
speaker person,has broader,was created by expression
speaker person of,has broader,created expression
special effects provider agent,has broader,was created by expression
special effects provider agent of,has broader,created expression
special effects provider collective agent,has broader,was created by expression
special effects provider collective agent of,has broader,created expression
special effects provider corporate body,has broader,was created by expression
special effects provider corporate body of,has broader,created expression
special effects provider family,has broader,was created by expression
special effects provider family of,has broader,created expression
special effects provider person,has broader,was created by expression
special effects provider person of,has broader,created expression
special issue,has broader,is inspiration for
special issue of,has broader,is inspired by
special playback characteristic,has broader,has note
split from expression,has broader,is associated with res
split from work,has broader,is a transformation of
split into expression,has broader,is associated with res
split into work,has broader,was transformed into
spoken word for work,has broader,accompanies or complements
spoken word work,has broader,accompanies or complements
sponsored corporate body of agent,has broader,is associated with res
sponsored corporate body of collective agent,has broader,is associated with res
sponsored corporate body of corporate body,has broader,is associated with res
sponsored corporate body of family,has broader,is associated with res
sponsored corporate body of person,has broader,is associated with res
sponsored work of agent,has broader,is associated with res
sponsored work of collective agent,has broader,is associated with res
sponsored work of corporate body,has broader,is associated with res
sponsored work of family,has broader,is associated with res
sponsored work of person,has broader,is associated with res
sponsoring agent of corporate body,has broader,is associated with res
sponsoring agent of work,has broader,was created by work
sponsoring collective agent of corporate body,has broader,is associated with res
sponsoring collective agent of work,has broader,was created by work
sponsoring corporate body of corporate body,has broader,is associated with res
sponsoring corporate body of work,has broader,was created by work
sponsoring family of corporate body,has broader,is associated with res
sponsoring family of work,has broader,was created by work
sponsoring person of corporate body,has broader,is associated with res
sponsoring person of work,has broader,was created by work
stage director agent,has broader,was created by expression
stage director agent of,has broader,created expression
stage director collective agent,has broader,was created by expression
stage director collective agent of,has broader,created expression
stage director corporate body,has broader,was created by expression
stage director corporate body of,has broader,created expression
stage director family,has broader,was created by expression
stage director family of,has broader,created expression
stage director person,has broader,was created by expression
stage director person of,has broader,created expression
statement of responsibility,has broader,has manifestation statement
statement of responsibility relating to edition,has broader,has manifestation statement
statement of responsibility relating to named revision of edition,has broader,has manifestation statement
statement of responsibility relating to series,has broader,has manifestation statement
statement of responsibility relating to title proper,has broader,has manifestation statement
static version,has broader,was transformed into
static version of,has broader,is a transformation of
status of identification,has broader,has category of nomen
storyteller agent,has broader,was created by expression
storyteller agent of,has broader,created expression
storyteller collective agent,has broader,was created by expression
storyteller collective agent of,has broader,created expression
storyteller corporate body,has broader,was created by expression
storyteller corporate body of,has broader,created expression
storyteller family,has broader,was created by expression
storyteller family of,has broader,created expression
storyteller person,has broader,was created by expression
storyteller person of,has broader,created expression
strings of coordinate pairs,has broader,has category of work
strings of coordinate pairs of,has broader,is associated with place
student,has broader,is associated with res
student at,has broader,is associated with res
subcollection,has broader,has part manifestation
subcollection of,has broader,is part manifestation of
subject,has equivalent,has as subject
subject agent,has broader,has as subject
subject agent of,has broader,is subject of
subject collective agent,has broader,has as subject
subject collective agent of,has broader,is subject of
subject corporate body,has broader,has as subject
subject corporate body of,has broader,is subject of
subject expression,has broader,has as subject
subject expression of,has broader,is subject of
subject family,has broader,has as subject
subject family of,has broader,is subject of
subject item,has broader,has as subject
subject item of,has broader,is subject of
subject manifestation,has broader,has as subject
subject manifestation of,has broader,is subject of
subject nomen,has broader,has as subject
subject nomen of,has broader,is subject of
subject person,has broader,has as subject
subject person of,has broader,is subject of
subject place,has broader,has as subject
subject place of,has broader,is subject of
subject RDA entity,has broader,has as subject
subject RDA entity of,has broader,is subject of
subject timespan,has broader,has as subject
subject timespan of,has broader,is subject of
subject work,has broader,has as subject
subject work of,has broader,is subject of
subseries,has broader,has part work
subseries of,has broader,is part work of
succeeded by expression,has broader,is associated with res
succeeded by work,has equivalent,was transformed into
successor of collective agent,has broader,succeeds collective agent
successor of corporate body,has broader,succeeds collective agent
successor of family,has broader,succeeds collective agent
summarization of content,has broader,has note
summary,has broader,was transformed into
summary of,has broader,is a transformation of
supplement expression,has broader,is associated with res
supplement to expression,has broader,is associated with res
supplement to work,has broader,is accompanied or complemented by
supplement work,has broader,accompanies or complements
supplementary content,has broader,has note
surname,has broader,has appellation
surname of,has broader,is appellation of
surveyor agent,has broader,is associated with res
surveyor agent of,has broader,is associated with res
surveyor collective agent,has broader,is associated with res
surveyor collective agent of,has broader,is associated with res
surveyor corporate body,has broader,is associated with res
surveyor corporate body of,has broader,is associated with res
surveyor family,has broader,is associated with res
surveyor family of,has broader,is associated with res
surveyor person,has broader,is associated with res
surveyor person of,has broader,is associated with res
system of organization,has broader,has note
tape configuration,has broader,has access conditions
teacher,has broader,is associated with res
television adaptation of expression,has broader,is associated with res
television adaptation of work,has broader,is a transformation of
television director agent,has broader,was created by work
television director agent of,has broader,created work
television director collective agent,has broader,was created by work
television director collective agent of,has broader,created work
television director corporate body,has broader,was created by work
television director corporate body of,has broader,created work
television director family,has broader,was created by work
television director family of,has broader,created work
television director person,has broader,was created by work
television director person of,has broader,created work
television producer agent,has broader,was created by work
television producer agent of,has broader,created work
television producer collective agent,has broader,was created by work
television producer collective agent of,has broader,created work
television producer corporate body,has broader,was created by work
television producer corporate body of,has broader,created work
television producer family,has broader,was created by work
television producer family of,has broader,created work
television producer person,has broader,was created by work
television producer person of,has broader,created work
television program music expression,has broader,is associated with res
television program music work,has broader,accompanies or complements
television screenplay based on expression,has broader,is associated with res
television screenplay based on work,has broader,is a transformation of
television screenplay expression,has broader,is associated with res
television screenplay work,has broader,accompanies or complements
term of availability,has broader,has access conditions
"term of rank, honour, or office",has broader,has appellation
text for work,has broader,accompanies or complements
text work,has broader,accompanies or complements
thematic index number,has broader,has appellation
thematic index number of,has broader,is appellation of
timespan described by,has broader,is subject of
timespan described with metadata by,has broader,is subject of
title of expression,has broader,has appellation
title of expression of,has broader,is appellation of
title of item,has broader,has appellation
title of item of,has broader,is appellation of
title of manifestation,has broader,has appellation
title of manifestation of,has broader,is appellation of
title of series,has broader,has appellation
title of series of,has broader,is appellation of
title of work,has broader,has appellation
title of work of,has broader,is appellation of
title proper,has broader,has appellation
title proper of,has broader,is appellation of
track configuration,has broader,has access conditions
transcriber agent,has broader,was created by expression
transcriber agent of,has broader,created expression
transcriber collective agent,has broader,was created by expression
transcriber collective agent of,has broader,created expression
transcriber corporate body,has broader,was created by expression
transcriber corporate body of,has broader,created expression
transcriber family,has broader,was created by expression
transcriber family of,has broader,created expression
transcriber person,has broader,was created by expression
transcriber person of,has broader,created expression
transformation,has equivalent,was transformed into
transformation by audience,has broader,was transformed into
transformation by audience of,has broader,is a transformation of
transformation by extension plan,has broader,was transformed into
transformation by extension plan of,has broader,is a transformation of
transformation by genre,has broader,was transformed into
transformation by genre of,has broader,is a transformation of
transformation by policy,has broader,was transformed into
transformation by policy of,has broader,is a transformation of
transformation by style,has broader,was transformed into
transformation by style of,has broader,is a transformation of
transformation of,has equivalent,is a transformation of
translated as,has broader,has derivation expression
translation of,has broader,is derivation expression of
translator agent,has broader,was created by expression
translator agent of,has broader,created expression
translator collective agent,has broader,was created by expression
translator collective agent of,has broader,created expression
translator corporate body,has broader,was created by expression
translator corporate body of,has broader,created expression
translator family,has broader,was created by expression
translator family of,has broader,created expression
translator person,has broader,was created by expression
translator person of,has broader,created expression
trustee,has broader,has member
trustee of,has broader,is member of
type of binding,has broader,has category of carrier
type of recording,has broader,has access conditions
undifferentiated name indicator,has broader,has category of nomen
Uniform Resource Locator,has broader,has note
variant access point for agent,has broader,has appellation
variant access point for agent of,has broader,is appellation of
variant access point for collective agent,has broader,has appellation
variant access point for collective agent of,has broader,is appellation of
variant access point for corporate body,has broader,has appellation
variant access point for corporate body of,has broader,is appellation of
variant access point for expression,has broader,has appellation
variant access point for expression of,has broader,is appellation of
variant access point for family,has broader,has appellation
variant access point for family of,has broader,is appellation of
variant access point for item,has broader,has appellation
variant access point for item of,has broader,is appellation of
variant access point for manifestation,has broader,has appellation
variant access point for manifestation of,has broader,is appellation of
variant access point for person,has broader,has appellation
variant access point for person of,has broader,is appellation of
variant access point for place,has broader,has appellation
variant access point for place of,has broader,is appellation of
variant access point for RDA entity,has broader,has appellation
variant access point for RDA entity of,has broader,is appellation of
variant access point for timespan,has broader,has appellation
variant access point for timespan of,has broader,is appellation of
variant access point for work,has broader,has appellation
variant access point for work of,has broader,is appellation of
variant name of agent,has broader,has appellation
variant name of agent of,has broader,is appellation of
variant name of collective agent,has broader,has appellation
variant name of collective agent of,has broader,is appellation of
variant name of corporate body,has broader,has appellation
variant name of corporate body of,has broader,is appellation of
variant name of family,has broader,has appellation
variant name of family of,has broader,is appellation of
variant name of person,has broader,has appellation
variant name of person of,has broader,is appellation of
variant name of place,has broader,has appellation
variant name of place of,has broader,is appellation of
variant name of RDA entity,has broader,has appellation
variant name of RDA entity of,has broader,is appellation of
variant name of timespan,has broader,has appellation
variant name of timespan of,has broader,is appellation of
variant title of expression,has broader,has appellation
variant title of expression of,has broader,is appellation of
variant title of item,has broader,has appellation
variant title of item of,has broader,is appellation of
variant title of manifestation,has broader,has appellation
variant title of manifestation of,has broader,is appellation of
variant title of work,has broader,has appellation
variant title of work of,has broader,is appellation of
variations based on expression,has broader,is associated with res
variations based on work,has broader,is a transformation of
verse adaptation of expression,has broader,is associated with res
verse adaptation of work,has broader,is a transformation of
vertical scale of cartographic content,has broader,has cartographic scale
video adaptation of expression,has broader,is associated with res
video adaptation of work,has broader,is a transformation of
video characteristic,has broader,has access conditions
video format,has broader,has access conditions
video game adaptation of work,has broader,is a transformation of
video music expression,has broader,is associated with res
video music work,has broader,accompanies or complements
video screenplay based on expression,has broader,is associated with res
video screenplay based on work,has broader,is a transformation of
video screenplay expression,has broader,is associated with res
video screenplay work,has broader,accompanies or complements
visual effects provider agent,has broader,was created by expression
visual effects provider agent of,has broader,created expression
visual effects provider collective agent,has broader,was created by expression
visual effects provider collective agent of,has broader,created expression
visual effects provider corporate body,has broader,was created by expression
visual effects provider corporate body of,has broader,created expression
visual effects provider family,has broader,was created by expression
visual effects provider family of,has broader,created expression
visual effects provider person,has broader,was created by expression
visual effects provider person of,has broader,created expression
voice actor agent,has broader,was created by expression
voice actor agent of,has broader,created expression
voice actor collective agent,has broader,was created by expression
voice actor collective agent of,has broader,created expression
voice actor corporate body,has broader,was created by expression
voice actor corporate body of,has broader,created expression
voice actor family,has broader,was created by expression
voice actor family of,has broader,created expression
voice actor person,has broader,was created by expression
voice actor person of,has broader,created expression
work analysed in,has broader,is subject of
work commentary in,has broader,is subject of
work critiqued by,has broader,is subject of
work described by,has broader,is subject of
work described with metadata by,has broader,is subject of
work evaluated by,has broader,is subject of
work expressed,has equivalent,realizes
work manifested,has broader,is associated with res
work reviewed by,has broader,is subject of
year degree granted,has broader,has category of work
year degree granted of,has broader,is associated with time-span
