RDA element,alignment,LRM element
restorationist agent of item,broader,was modified by
restorationist agent of item of,broader,modified
restorationist collective agent of expression,broader,was created by expression
restorationist collective agent of expression of,broader,created expression
restorationist collective agent of item,broader,was modified by
restorationist collective agent of item of,broader,modified
restorationist corporate body of expression,broader,was created by expression
restorationist corporate body of expression of,broader,created expression
restorationist corporate body of item,broader,was modified by
restorationist corporate body of item of,broader,modified
restorationist family of expression,broader,was created by expression
restorationist family of expression of,broader,created expression
restorationist family of item,broader,was modified by
restorationist family of item of,broader,modified
restorationist person of expression,broader,was created by expression
restorationist person of expression of,broader,created expression
restorationist person of item,broader,was modified by
restorationist person of item of,broader,modified
restriction on access to item,equivalent,has use rights of the item
restriction on access to manifestation,equivalent,has use rights of the manifestation
restriction on use of item,equivalent,has use rights of the item
restriction on use of manifestation,equivalent,has use rights of the manifestation
review of expression,broader,has as subject
review of item,broader,has as subject
review of manifestation,broader,has as subject
review of RDA entity,broader,has as subject
review of work,broader,has as subject
revised as,broader,has derivation expression
reviser agent,broader,was created by expression
reviser agent of,broader,created expression
reviser collective agent,broader,was created by expression
reviser collective agent of,broader,created expression
reviser corporate body,broader,was created by expression
reviser corporate body of,broader,created expression
reviser family,broader,was created by expression
reviser family of,broader,created expression
reviser person,broader,was created by expression
reviser person of,broader,created expression
revision of,broader,is derivation expression of
right ascension,broader,has category of work
right ascension and declination,broader,has category of work
right ascension and declination of,broader,is associated with place
scale,broader,has extent of expression
scale designation,broader,has category of expression
scale of representative expression,broader,has representative expression attribute
scale of still image or three-dimensional form,broader,has extent of expression
scheme of nomen,equivalent,has scheme
scope of validity,broader,has note
screenplay based on expression,broader,has derivation expression
screenplay based on work,broader,is a transformation of
screenplay expression,broader,is associated with res
screenplay for expression,broader,is associated with res
screenplay for motion picture expression,broader,is associated with res
screenplay for motion picture work,broader,accompanies or complements
screenplay for television program expression,broader,is associated with res
screenplay for television program work,broader,accompanies or complements
screenplay for video expression,broader,is associated with res
screenplay for video work,broader,accompanies or complements
screenplay for work,broader,accompanies or complements
screenplay work,broader,accompanies or complements
screenwriter agent,broader,was created by work
screenwriter agent of,broader,created work
screenwriter collective agent,broader,was created by work
screenwriter collective agent of,broader,created work
screenwriter corporate body,broader,was created by work
screenwriter corporate body of,broader,created work
screenwriter family,broader,was created by work
screenwriter family of,broader,created work
screenwriter person,broader,was created by work
screenwriter person of,broader,created work
script,broader,has category of expression
script for radio program expression,broader,is associated with res
script for radio program work,broader,accompanies or complements
script of nomen,equivalent,has script
script of representative expression,broader,has representative expression attribute
sculptor agent,broader,was created by work
sculptor agent of,broader,created work
sculptor collective agent,broader,was created by work
sculptor collective agent of,broader,created work
sculptor corporate body,broader,was created by work
sculptor corporate body of,broader,created work
sculptor family,broader,was created by work
sculptor family of,broader,created work
sculptor person,broader,was created by work
sculptor person of,broader,created work
seller agent,broader,is owned by
seller agent of,broader,owns
seller collective agent,broader,is owned by
seller collective agent of,broader,owns
seller corporate body,broader,is owned by
seller corporate body of,broader,owns
seller family,broader,is owned by
seller family of,broader,owns
seller person,broader,is owned by
seller person of,broader,owns
separated from expression,broader,is associated with res
separated from work,broader,precedes work
separated into expression,broader,is associated with res
separated into work,broader,succeeds work
sequel expression,broader,is associated with res
sequel work,broader,precedes work
sequential version,broader,was transformed into
sequential version of,broader,is a transformation of
serial number of musical work,broader,has appellation
serial number of musical work of,broader,is appellation of
serialized version,broader,was transformed into
serialized version of,broader,is a transformation of
series statement,broader,has appellation
set to music as expression,broader,has derivation expression
set to music as work,broader,was transformed into
singer agent,broader,was created by expression
singer agent of,broader,created expression
singer collective agent,broader,was created by expression
singer collective agent of,broader,created expression
singer corporate body,broader,was created by expression
singer corporate body of,broader,created expression
singer family,broader,was created by expression
singer family of,broader,created expression
singer person,broader,was created by expression
singer person of,broader,created expression
software developer agent,broader,was created by expression
software developer agent of,broader,created expression
software developer collective agent,broader,was created by expression
software developer collective agent of,broader,created expression
software developer corporate body,broader,was created by expression
software developer corporate body of,broader,created expression
software developer family,broader,was created by expression
software developer family of,broader,created expression
software developer person,broader,was created by expression
software developer person of,broader,created expression
sound characteristic,broader,has access conditions
sound content,broader,has note
sound content of representative expression,broader,has representative expression attribute
sound designer agent,broader,was created by expression
sound designer agent of,broader,created expression
sound designer collective agent,broader,was created by expression
sound designer collective agent of,broader,created expression
sound designer corporate body,broader,was created by expression
sound designer corporate body of,broader,created expression
sound designer family,broader,was created by expression
sound designer family of,broader,created expression
sound designer person,broader,was created by expression
sound designer person of,broader,created expression
sounds for work,broader,accompanies or complements
sounds work,broader,accompanies or complements
source consulted,broader,is associated with res
source consulted of,broader,is associated with res
speaker agent,broader,was created by expression
speaker agent of,broader,created expression
speaker collective agent,broader,was created by expression
speaker collective agent of,broader,created expression
speaker corporate body,broader,was created by expression
speaker corporate body of,broader,created expression
speaker family,broader,was created by expression
speaker family of,broader,created expression
speaker person,broader,was created by expression
speaker person of,broader,created expression
special effects provider agent,broader,was created by expression
special effects provider agent of,broader,created expression
special effects provider collective agent,broader,was created by expression
special effects provider collective agent of,broader,created expression
special effects provider corporate body,broader,was created by expression
special effects provider corporate body of,broader,created expression
special effects provider family,broader,was created by expression
special effects provider family of,broader,created expression
special effects provider person,broader,was created by expression
special effects provider person of,broader,created expression
special issue,broader,is inspiration for
special issue of,broader,is inspired by
special playback characteristic,broader,has note
split from expression,broader,is associated with res
split from work,broader,precedes work
split into expression,broader,is associated with res
split into work,broader,succeeds work
spoken word for work,broader,accompanies or complements
spoken word work,broader,accompanies or complements
sponsored corporate body of agent,broader,is associated with res
sponsored corporate body of collective agent,broader,is associated with res
sponsored corporate body of corporate body,broader,is associated with res
sponsored corporate body of family,broader,is associated with res
sponsored corporate body of person,broader,is associated with res
sponsored work of agent,broader,is associated with res
sponsored work of collective agent,broader,is associated with res
sponsored work of corporate body,broader,is associated with res
sponsored work of family,broader,is associated with res
sponsored work of person,broader,is associated with res
sponsoring agent of corporate body,broader,is associated with res
sponsoring agent of work,broader,was created by work
sponsoring collective agent of corporate body,broader,is associated with res
sponsoring collective agent of work,broader,was created by work
sponsoring corporate body of corporate body,broader,is associated with res
sponsoring corporate body of work,broader,was created by work
sponsoring family of corporate body,broader,is associated with res
sponsoring family of work,broader,was created by work
sponsoring person of corporate body,broader,is associated with res
sponsoring person of work,broader,was created by work
stage director agent,broader,was created by expression
stage director agent of,broader,created expression
stage director collective agent,broader,was created by expression
stage director collective agent of,broader,created expression
stage director corporate body,broader,was created by expression
stage director corporate body of,broader,created expression
stage director family,broader,was created by expression
stage director family of,broader,created expression
stage director person,broader,was created by expression
stage director person of,broader,created expression
statement of responsibility,broader,has manifestation statement
statement of responsibility relating to edition,broader,has manifestation statement
statement of responsibility relating to named revision of edition,broader,has manifestation statement
statement of responsibility relating to series,broader,has manifestation statement
statement of responsibility relating to title proper,broader,has manifestation statement
static version,broader,was transformed into
static version of,broader,is a transformation of
status of identification,broader,has category of nomen
storyteller agent,broader,was created by expression
storyteller agent of,broader,created expression
storyteller collective agent,broader,was created by expression
storyteller collective agent of,broader,created expression
storyteller corporate body,broader,was created by expression
storyteller corporate body of,broader,created expression
storyteller family,broader,was created by expression
storyteller family of,broader,created expression
storyteller person,broader,was created by expression
storyteller person of,broader,created expression
strings of coordinate pairs,broader,has category of work
strings of coordinate pairs of,broader,is associated with place
student,broader,is associated with res
student at,broader,is associated with res
subject,equivalent,has as subject
subject agent,broader,has as subject
subject agent of,broader,is subject of
subject collective agent,broader,has as subject
subject collective agent of,broader,is subject of
subject corporate body,broader,has as subject
subject corporate body of,broader,is subject of
subject expression,broader,has as subject
subject expression of,broader,is subject of
subject family,broader,has as subject
subject family of,broader,is subject of
subject item,broader,has as subject
subject item of,broader,is subject of
subject manifestation,broader,has as subject
subject manifestation of,broader,is subject of
subject nomen,broader,has as subject
subject nomen of,broader,is subject of
subject person,broader,has as subject
subject person of,broader,is subject of
subject place,broader,has as subject
subject place of,broader,is subject of
subject RDA entity,broader,has as subject
subject RDA entity of,broader,is subject of
subject timespan,broader,has as subject
subject timespan of,broader,is subject of
subject work,broader,has as subject
subject work of,broader,is subject of
subseries,broader,has part work
subseries of,broader,is part work of
succeeded by expression,broader,is associated with res
succeeded by work,equivalent,succeeds work
successor of collective agent,broader,succeeds collective agent
successor of corporate body,broader,succeeds collective agent
successor of family,broader,succeeds collective agent
summarization of content,broader,has note
summarized as expression,broader,has derivation expression
summarized as work,broader,was transformed into
summary of expression,broader,is derivation expression of
summary of work,broader,is a transformation of
supplement expression,broader,is associated with res
supplement to expression,broader,is associated with res
supplement to work,broader,is associated with res
supplement work,broader,is associated with res
supplementary content,broader,has note
surname,broader,has appellation
surname of,broader,is appellation of
surveyor agent,broader,is associated with res
surveyor agent of,broader,is associated with res
surveyor collective agent,broader,is associated with res
surveyor collective agent of,broader,is associated with res
surveyor corporate body,broader,is associated with res
surveyor corporate body of,broader,is associated with res
surveyor family,broader,is associated with res
surveyor family of,broader,is associated with res
surveyor person,broader,is associated with res
surveyor person of,broader,is associated with res
system of organization,broader,has note
tape configuration,broader,has access conditions
teacher,broader,is associated with res
television adaptation of expression,broader,has derivation expression
television adaptation of work,broader,is a transformation of
television director agent,broader,was created by work
television director agent of,broader,created work
television director collective agent,broader,was created by work
television director collective agent of,broader,created work
television director corporate body,broader,was created by work
television director corporate body of,broader,created work
television director family,broader,was created by work
television director family of,broader,created work
television director person,broader,was created by work
television director person of,broader,created work
television producer agent,broader,was created by work
television producer agent of,broader,created work
television producer collective agent,broader,was created by work
television producer collective agent of,broader,created work
television producer corporate body,broader,was created by work
television producer corporate body of,broader,created work
television producer family,broader,was created by work
television producer family of,broader,created work
television producer person,broader,was created by work
television producer person of,broader,created work
television program music expression,broader,is associated with res
television program music work,broader,accompanies or complements
television screenplay based on expression,broader,has derivation expression
television screenplay based on work,broader,is a transformation of
television screenplay expression,broader,is associated with res
television screenplay work,broader,accompanies or complements
term of availability,broader,has access conditions
"term of rank, honour, or office",broader,has appellation
text for work,broader,accompanies or complements
text work,broader,accompanies or complements
thematic index number,broader,has appellation
thematic index number of,broader,is appellation of
timespan described in,broader,is subject of
title of expression,broader,has appellation
title of expression of,broader,is appellation of
title of item,broader,has appellation
title of item of,broader,is appellation of
title of manifestation,broader,has appellation
title of manifestation of,broader,is appellation of
title of series,broader,has appellation
title of series of,broader,is appellation of
title of work,broader,has appellation
title of work of,broader,is appellation of
title proper,broader,has appellation
title proper of,broader,is appellation of
track configuration,broader,has access conditions
transcriber agent,broader,was created by expression
transcriber agent of,broader,created expression
transcriber collective agent,broader,was created by expression
transcriber collective agent of,broader,created expression
transcriber corporate body,broader,was created by expression
transcriber corporate body of,broader,created expression
transcriber family,broader,was created by expression
transcriber family of,broader,created expression
transcriber person,broader,was created by expression
transcriber person of,broader,created expression
transformation,equivalent,was transformed into
transformation by audience,broader,was transformed into
transformation by audience of,broader,is a transformation of
transformation by extension plan,broader,was transformed into
transformation by extension plan of,broader,is a transformation of
transformation by genre,broader,was transformed into
transformation by genre of,broader,is a transformation of
transformation by policy,broader,was transformed into
transformation by policy of,broader,is a transformation of
transformation by style,broader,was transformed into
transformation by style of,broader,is a transformation of
transformation of,equivalent,is a transformation of
translated as,broader,has derivation expression
translation of,broader,is derivation expression of
translator agent,broader,was created by expression
translator agent of,broader,created expression
translator collective agent,broader,was created by expression
translator collective agent of,broader,created expression
translator corporate body,broader,was created by expression
translator corporate body of,broader,created expression
translator family,broader,was created by expression
translator family of,broader,created expression
translator person,broader,was created by expression
translator person of,broader,created expression
trustee,broader,has member
trustee of,broader,is member of
type of binding,broader,has category of carrier
type of recording,broader,has access conditions
undifferentiated name indicator,broader,has category of nomen
Uniform Resource Locator,broader,has note
variant access point for agent,broader,has appellation
variant access point for agent of,broader,is appellation of
variant access point for collective agent,broader,has appellation
variant access point for collective agent of,broader,is appellation of
variant access point for corporate body,broader,has appellation
variant access point for corporate body of,broader,is appellation of
variant access point for expression,broader,has appellation
variant access point for expression of,broader,is appellation of
variant access point for family,broader,has appellation
variant access point for family of,broader,is appellation of
variant access point for item,broader,has appellation
variant access point for item of,broader,is appellation of
variant access point for manifestation,broader,has appellation
variant access point for manifestation of,broader,is appellation of
variant access point for person,broader,has appellation
variant access point for person of,broader,is appellation of
variant access point for place,broader,has appellation
variant access point for place of,broader,is appellation of
variant access point for RDA entity,broader,has appellation
variant access point for RDA entity of,broader,is appellation of
variant access point for timespan,broader,has appellation
variant access point for timespan of,broader,is appellation of
variant access point for work,broader,has appellation
variant access point for work of,broader,is appellation of
variant name of agent,broader,has appellation
variant name of agent of,broader,is appellation of
variant name of collective agent,broader,has appellation
variant name of collective agent of,broader,is appellation of
variant name of corporate body,broader,has appellation
variant name of corporate body of,broader,is appellation of
variant name of family,broader,has appellation
variant name of family of,broader,is appellation of
variant name of person,broader,has appellation
variant name of person of,broader,is appellation of
variant name of place,broader,has appellation
variant name of place of,broader,is appellation of
variant name of RDA entity,broader,has appellation
variant name of RDA entity of,broader,is appellation of
variant name of timespan,broader,has appellation
variant name of timespan of,broader,is appellation of
variant title of expression,broader,has appellation
variant title of expression of,broader,is appellation of
variant title of item,broader,has appellation
variant title of item of,broader,is appellation of
variant title of manifestation,broader,has appellation
variant title of manifestation of,broader,is appellation of
variant title of work,broader,has appellation
variant title of work of,broader,is appellation of
variations based on expression,broader,is derivation expression of
variations based on work,broader,is a transformation of
verse adaptation of expression,broader,has derivation expression
verse adaptation of work,broader,is a transformation of
vertical scale of cartographic content,broader,has extent of expression
video adaptation of expression,broader,has derivation expression
video adaptation of work,broader,is a transformation of
video characteristic,broader,has access conditions
video format,broader,has access conditions
video game adaptation of work,broader,is a transformation of
video music expression,broader,is associated with res
video music work,broader,accompanies or complements
video screenplay based on expression,broader,has derivation expression
video screenplay based on work,broader,is a transformation of
video screenplay expression,broader,is associated with res
video screenplay work,broader,accompanies or complements
visual effects provider agent,broader,was created by expression
visual effects provider agent of,broader,created expression
visual effects provider collective agent,broader,was created by expression
visual effects provider collective agent of,broader,created expression
visual effects provider corporate body,broader,was created by expression
visual effects provider corporate body of,broader,created expression
visual effects provider family,broader,was created by expression
visual effects provider family of,broader,created expression
visual effects provider person,broader,was created by expression
visual effects provider person of,broader,created expression
voice actor agent,broader,was created by expression
voice actor agent of,broader,created expression
voice actor collective agent,broader,was created by expression
voice actor collective agent of,broader,created expression
voice actor corporate body,broader,was created by expression
voice actor corporate body of,broader,created expression
voice actor family,broader,was created by expression
voice actor family of,broader,created expression
voice actor person,broader,was created by expression
voice actor person of,broader,created expression
work analysed in,broader,is subject of
work commentary in,broader,is subject of
work critiqued in,broader,is subject of
work described in,broader,is subject of
work evaluated in,broader,is subject of
work expressed,equivalent,realizes
work manifested,broader,is associated with res
work reviewed in,broader,is subject of
year degree granted,broader,has category of work
year degree granted of,broader,is associated with time-span
