RDA element,RDA recording method,Alignment,M21 Authority encoding
related expression of person,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t"
related work of family,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t"
agent described in,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
collective agent described in,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
corporate body described in,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
critique of work,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
family described in,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
merged to form work,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
merger of work,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
part of work,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
part work,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
person described in,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
preceded by work,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
related work of agent,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
related work of person,structured description,aligns with,"510 ** $a, b, c, d, f, g, m, n, p, r, t"
abridger agent,structured description,aligns with,"510 ** $a, b, c, d, g"
abridger collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
abridger corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
absorbed corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
absorbing corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
actor agent,structured description,aligns with,"510 ** $a, b, c, d, g"
actor collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
actor corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
animator agent,structured description,aligns with,"510 ** $a, b, c, d, g"
animator collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
animator corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
appellant corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
appellee corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
arranger corporate body of music,structured description,aligns with,"510 ** $a, b, c, d, g"
art director agent,structured description,aligns with,"510 ** $a, b, c, d, g"
art director collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
art director corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
audio engineer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
audio engineer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
audio engineer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
broader affiliated body,structured description,aligns with,"510 ** $a, b, c, d, g"
censor agent,structured description,aligns with,"510 ** $a, b, c, d, g"
censor collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
censor corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
choral conductor agent,structured description,aligns with,"510 ** $a, b, c, d, g"
choral conductor collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
choral conductor corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
colourist agent,structured description,aligns with,"510 ** $a, b, c, d, g"
colourist collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
colourist corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
commentator agent,structured description,aligns with,"510 ** $a, b, c, d, g"
commentator collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
commentator corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
component of merger,structured description,aligns with,"510 ** $a, b, c, d, g"
conductor agent,structured description,aligns with,"510 ** $a, b, c, d, g"
conductor collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
conductor corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
contributor agent to amalgamation,structured description,aligns with,"510 ** $a, b, c, d, g"
contributor agent to performance,structured description,aligns with,"510 ** $a, b, c, d, g"
contributor collective agent to amalgamation,structured description,aligns with,"510 ** $a, b, c, d, g"
contributor collective agent to performance,structured description,aligns with,"510 ** $a, b, c, d, g"
contributor corporate body to amalgamation,structured description,aligns with,"510 ** $a, b, c, d, g"
contributor corporate body to performance,structured description,aligns with,"510 ** $a, b, c, d, g"
corporate body member of collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
corporate body member of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
corporate body member of family,structured description,aligns with,"510 ** $a, b, c, d, g"
costume designer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
costume designer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
costume designer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
court governed,structured description,aligns with,"510 ** $a, b, c, d, g"
court reporter agent,structured description,aligns with,"510 ** $a, b, c, d, g"
court reporter collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
court reporter corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
creator agent of expression,structured description,aligns with,"510 ** $a, b, c, d, g"
creator collective agent of expression,structured description,aligns with,"510 ** $a, b, c, d, g"
creator corporate body of expression,structured description,aligns with,"510 ** $a, b, c, d, g"
dancer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
dancer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
dancer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
degree granting institution,structured description,aligns with,"510 ** $a, b, c, d, g"
DJ agent,structured description,aligns with,"510 ** $a, b, c, d, g"
DJ collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
DJ corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
draftsman agent,structured description,aligns with,"510 ** $a, b, c, d, g"
draftsman collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
draftsman corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
dubbing director agent,structured description,aligns with,"510 ** $a, b, c, d, g"
dubbing director collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
dubbing director corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
editor agent,structured description,aligns with,"510 ** $a, b, c, d, g"
editor agent of moving image work,structured description,aligns with,"510 ** $a, b, c, d, g"
editor collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
editor collective agent of moving image work,structured description,aligns with,"510 ** $a, b, c, d, g"
editor corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
editor corporate body of moving image work,structured description,aligns with,"510 ** $a, b, c, d, g"
employer,structured description,aligns with,"510 ** $a, b, c, d, g"
family member of corporate body of,structured description,aligns with,"510 ** $a, b, c, d, g"
founded corporate body of agent,structured description,aligns with,"510 ** $a, b, c, d, g"
founded corporate body of collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
founded corporate body of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
founded corporate body of family,structured description,aligns with,"510 ** $a, b, c, d, g"
founded corporate body of person,structured description,aligns with,"510 ** $a, b, c, d, g"
founding agent of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
founding collective agent of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
founding corporate body of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
hierarchical subordinate,structured description,aligns with,"510 ** $a, b, c, d, g"
hierarchical superior,structured description,aligns with,"510 ** $a, b, c, d, g"
host agent,structured description,aligns with,"510 ** $a, b, c, d, g"
host collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
host corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
hosting institution,structured description,aligns with,"510 ** $a, b, c, d, g"
instructor agent,structured description,aligns with,"510 ** $a, b, c, d, g"
instructor collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
instructor corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
instrumental conductor agent,structured description,aligns with,"510 ** $a, b, c, d, g"
instrumental conductor collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
instrumental conductor corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
instrumentalist agent,structured description,aligns with,"510 ** $a, b, c, d, g"
instrumentalist collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
instrumentalist corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
interviewee corporate body of expression,structured description,aligns with,"510 ** $a, b, c, d, g"
interviewer corporate body of expression,structured description,aligns with,"510 ** $a, b, c, d, g"
letterer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
letterer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
letterer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
lighting designer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
lighting designer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
lighting designer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
local affiliate,structured description,aligns with,"510 ** $a, b, c, d, g"
makeup artist agent,structured description,aligns with,"510 ** $a, b, c, d, g"
makeup artist collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
makeup artist corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
mergee,structured description,aligns with,"510 ** $a, b, c, d, g"
minute taker agent,structured description,aligns with,"510 ** $a, b, c, d, g"
minute taker collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
minute taker corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
mixing engineer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
mixing engineer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
mixing engineer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
moderator agent,structured description,aligns with,"510 ** $a, b, c, d, g"
moderator collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
moderator corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
music programmer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
music programmer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
music programmer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
musical director agent,structured description,aligns with,"510 ** $a, b, c, d, g"
musical director collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
musical director corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
narrator agent,structured description,aligns with,"510 ** $a, b, c, d, g"
narrator collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
narrator corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
onscreen participant agent,structured description,aligns with,"510 ** $a, b, c, d, g"
onscreen participant collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
onscreen participant corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
onscreen presenter agent,structured description,aligns with,"510 ** $a, b, c, d, g"
onscreen presenter collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
onscreen presenter corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
panelist agent,structured description,aligns with,"510 ** $a, b, c, d, g"
panelist collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
panelist corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
performer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
performer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
performer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
person member of corporate body of,structured description,aligns with,"510 ** $a, b, c, d, g"
plaintiff corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
predecessor of collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
predecessor of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
predecessor of split,structured description,aligns with,"510 ** $a, b, c, d, g"
presenter agent,structured description,aligns with,"510 ** $a, b, c, d, g"
presenter collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
presenter corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
product of merger,structured description,aligns with,"510 ** $a, b, c, d, g"
product of split,structured description,aligns with,"510 ** $a, b, c, d, g"
production designer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
production designer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
production designer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
puppeteer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
puppeteer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
puppeteer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
recording engineer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
recording engineer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
recording engineer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
recordist agent,structured description,aligns with,"510 ** $a, b, c, d, g"
recordist collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
recordist corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
related agent of agent,structured description,aligns with,"510 ** $a, b, c, d, g"
related agent of collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
related agent of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
related agent of family,structured description,aligns with,"510 ** $a, b, c, d, g"
related agent of person,structured description,aligns with,"510 ** $a, b, c, d, g"
related collective agent of agent,structured description,aligns with,"510 ** $a, b, c, d, g"
related collective agent of collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
related collective agent of collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
related collective agent of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
related collective agent of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
related collective agent of expression,structured description,aligns with,"510 ** $a, b, c, d, g"
related collective agent of family,structured description,aligns with,"510 ** $a, b, c, d, g"
related collective agent of person,structured description,aligns with,"510 ** $a, b, c, d, g"
related collective agent of place,structured description,aligns with,"510 ** $a, b, c, d, g"
related collective agent of work,structured description,aligns with,"510 ** $a, b, c, d, g"
related corporate body of agent,structured description,aligns with,"510 ** $a, b, c, d, g"
related corporate body of collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
related corporate body of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
related corporate body of expression,structured description,aligns with,"510 ** $a, b, c, d, g"
related corporate body of family,structured description,aligns with,"510 ** $a, b, c, d, g"
related corporate body of person,structured description,aligns with,"510 ** $a, b, c, d, g"
related corporate body of place,structured description,aligns with,"510 ** $a, b, c, d, g"
related corporate body of work,structured description,aligns with,"510 ** $a, b, c, d, g"
restorationist corporate body of expression,structured description,aligns with,"510 ** $a, b, c, d, g"
reviser agent,structured description,aligns with,"510 ** $a, b, c, d, g"
reviser collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
reviser corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
singer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
singer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
singer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
software developer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
sound designer agent,structured description,aligns with,"510 ** $a, b, c, d, g"
sound designer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
sound designer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
speaker agent,structured description,aligns with,"510 ** $a, b, c, d, g"
speaker collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
speaker corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
special effects provider agent,structured description,aligns with,"510 ** $a, b, c, d, g"
special effects provider collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
special effects provider corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
sponsored corporate body of agent,structured description,aligns with,"510 ** $a, b, c, d, g"
sponsored corporate body of collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
sponsored corporate body of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
sponsored corporate body of family,structured description,aligns with,"510 ** $a, b, c, d, g"
sponsored corporate body of person,structured description,aligns with,"510 ** $a, b, c, d, g"
sponsoring agent of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
sponsoring collective agent of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
sponsoring corporate body of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
stage director agent,structured description,aligns with,"510 ** $a, b, c, d, g"
stage director collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
stage director corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
storyteller agent,structured description,aligns with,"510 ** $a, b, c, d, g"
storyteller collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
storyteller corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
student at,structured description,aligns with,"510 ** $a, b, c, d, g"
successor of collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
successor of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
transcriber agent,structured description,aligns with,"510 ** $a, b, c, d, g"
transcriber collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
transcriber corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
translator agent,structured description,aligns with,"510 ** $a, b, c, d, g"
translator collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
translator corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
visual effects provider agent,structured description,aligns with,"510 ** $a, b, c, d, g"
visual effects provider collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
visual effects provider corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
voice actor agent,structured description,aligns with,"510 ** $a, b, c, d, g"
voice actor collective agent,structured description,aligns with,"510 ** $a, b, c, d, g"
voice actor corporate body,structured description,aligns with,"510 ** $a, b, c, d, g"
context of use,identifier,aligns with,510 ** $w/0
context of use,identifier,aligns with,510 ** $w/1
participant in treaty,structured description,aligns with,510 1* $a
absorbed corporate body,identifier,aligns with,511 ** $0
absorbing corporate body,identifier,aligns with,511 ** $0
agent described in,identifier,aligns with,511 ** $0
broader affiliated body,identifier,aligns with,511 ** $0
collective agent described in,identifier,aligns with,511 ** $0
component of merger,identifier,aligns with,511 ** $0
corporate body described in,identifier,aligns with,511 ** $0
corporate body member of corporate body,identifier,aligns with,511 ** $0
critique of work,identifier,aligns with,511 ** $0
date of work,identifier,aligns with,511 ** $0
family described in,identifier,aligns with,511 ** $0
founded corporate body of agent,identifier,aligns with,511 ** $0
founded corporate body of collective agent,identifier,aligns with,511 ** $0
founded corporate body of corporate body,identifier,aligns with,511 ** $0
founded corporate body of family,identifier,aligns with,511 ** $0
founded corporate body of person,identifier,aligns with,511 ** $0
founding agent of corporate body,identifier,aligns with,511 ** $0
founding collective agent of corporate body,identifier,aligns with,511 ** $0
founding corporate body of corporate body,identifier,aligns with,511 ** $0
hierarchical subordinate,identifier,aligns with,511 ** $0
hierarchical superior,identifier,aligns with,511 ** $0
jointly held conference,identifier,aligns with,511 ** $0
local affiliate,identifier,aligns with,511 ** $0
merged to form work,identifier,aligns with,511 ** $0
mergee,identifier,aligns with,511 ** $0
merger of work,identifier,aligns with,511 ** $0
part of work,identifier,aligns with,511 ** $0
part work,identifier,aligns with,511 ** $0
person described in,identifier,aligns with,511 ** $0
person member of corporate body of,identifier,aligns with,511 ** $0
preceded by work,identifier,aligns with,511 ** $0
predecessor of collective agent,identifier,aligns with,511 ** $0
predecessor of corporate body,identifier,aligns with,511 ** $0
predecessor of split,identifier,aligns with,511 ** $0
product of merger,identifier,aligns with,511 ** $0
product of split,identifier,aligns with,511 ** $0
related agent of agent,identifier,aligns with,511 ** $0
related agent of collective agent,identifier,aligns with,511 ** $0
related agent of corporate body,identifier,aligns with,511 ** $0
related agent of family,identifier,aligns with,511 ** $0
related agent of person,identifier,aligns with,511 ** $0
related collective agent of agent,,aligns with,511 ** $0
related collective agent of collective agent,identifier,aligns with,511 ** $0
related collective agent of collective agent,identifier,aligns with,511 ** $0
related collective agent of corporate body,identifier,aligns with,511 ** $0
related collective agent of corporate body,identifier,aligns with,511 ** $0
related collective agent of expression,identifier,aligns with,511 ** $0
related collective agent of family,identifier,aligns with,511 ** $0
related collective agent of person,identifier,aligns with,511 ** $0
related collective agent of place,identifier,aligns with,511 ** $0
related collective agent of work,identifier,aligns with,511 ** $0
related corporate body of agent,identifier,aligns with,511 ** $0
related corporate body of collective agent,identifier,aligns with,511 ** $0
related corporate body of corporate body,identifier,aligns with,511 ** $0
related corporate body of expression,identifier,aligns with,511 ** $0
related corporate body of family,identifier,aligns with,511 ** $0
related corporate body of person,identifier,aligns with,511 ** $0
related corporate body of place,identifier,aligns with,511 ** $0
related corporate body of work,identifier,aligns with,511 ** $0
related expression of agent,identifier,aligns with,511 ** $0
related expression of family,identifier,aligns with,511 ** $0
related expression of person,identifier,aligns with,511 ** $0
related work of agent,identifier,aligns with,511 ** $0
related work of family,identifier,aligns with,511 ** $0
related work of person,identifier,aligns with,511 ** $0
source consulted,identifier,aligns with,511 ** $0
sponsored corporate body of agent,identifier,aligns with,511 ** $0
sponsored corporate body of collective agent,identifier,aligns with,511 ** $0
sponsored corporate body of corporate body,identifier,aligns with,511 ** $0
sponsored corporate body of family,identifier,aligns with,511 ** $0
sponsored corporate body of person,identifier,aligns with,511 ** $0
sponsoring agent of corporate body,identifier,aligns with,511 ** $0
sponsoring collective agent of corporate body,identifier,aligns with,511 ** $0
sponsoring corporate body of corporate body,identifier,aligns with,511 ** $0
successor of collective agent,identifier,aligns with,511 ** $0
successor of corporate body,identifier,aligns with,511 ** $0
absorbed corporate body,IRI,aligns with,511 ** $1
absorbing corporate body,IRI,aligns with,511 ** $1
agent described in,IRI,aligns with,511 ** $1
broader affiliated body,IRI,aligns with,511 ** $1
collective agent described in,IRI,aligns with,511 ** $1
component of merger,IRI,aligns with,511 ** $1
corporate body described in,IRI,aligns with,511 ** $1
corporate body member of corporate body,IRI,aligns with,511 ** $1
critique of work,IRI,aligns with,511 ** $1
date of work,IRI,aligns with,511 ** $1
family described in,IRI,aligns with,511 ** $1
founded corporate body of collective agent,IRI,aligns with,511 ** $1
founded corporate body of collective agent,IRI,aligns with,511 ** $1
founded corporate body of corporate body,IRI,aligns with,511 ** $1
founded corporate body of family,IRI,aligns with,511 ** $1
founded corporate body of person,IRI,aligns with,511 ** $1
founding agent of corporate body,IRI,aligns with,511 ** $1
founding collective agent of corporate body,IRI,aligns with,511 ** $1
founding corporate body of corporate body,IRI,aligns with,511 ** $1
hierarchical subordinate,IRI,aligns with,511 ** $1
hierarchical superior,IRI,aligns with,511 ** $1
jointly held conference,IRI,aligns with,511 ** $1
local affiliate,IRI,aligns with,511 ** $1
merged to form work,IRI,aligns with,511 ** $1
mergee,IRI,aligns with,511 ** $1
merger of work,IRI,aligns with,511 ** $1
part of work,IRI,aligns with,511 ** $1
part work,IRI,aligns with,511 ** $1
person described in,IRI,aligns with,511 ** $1
person member of corporate body of,IRI,aligns with,511 ** $1
preceded by work,IRI,aligns with,511 ** $1
predecessor of collective agent,IRI,aligns with,511 ** $1
predecessor of corporate body,IRI,aligns with,511 ** $1
predecessor of split,IRI,aligns with,511 ** $1
product of merger,IRI,aligns with,511 ** $1
product of split,IRI,aligns with,511 ** $1
related agent of agent,IRI,aligns with,511 ** $1
related agent of collective agent,IRI,aligns with,511 ** $1
related agent of corporate body,IRI,aligns with,511 ** $1
related agent of family,IRI,aligns with,511 ** $1
related agent of person,IRI,aligns with,511 ** $1
related collective agent of agent,,aligns with,511 ** $1
related collective agent of collective agent,IRI,aligns with,511 ** $1
related collective agent of collective agent,IRI,aligns with,511 ** $1
related collective agent of corporate body,IRI,aligns with,511 ** $1
related collective agent of corporate body,IRI,aligns with,511 ** $1
related collective agent of expression,IRI,aligns with,511 ** $1
related collective agent of person,IRI,aligns with,511 ** $1
related collective agent of place,IRI,aligns with,511 ** $1
related collective agent of work,IRI,aligns with,511 ** $1
related corporate body of agent,IRI,aligns with,511 ** $1
related corporate body of collective agent,IRI,aligns with,511 ** $1
related corporate body of corporate body,IRI,aligns with,511 ** $1
related corporate body of expression,IRI,aligns with,511 ** $1
related corporate body of family,IRI,aligns with,511 ** $1
related corporate body of person,IRI,aligns with,511 ** $1
related corporate body of place,IRI,aligns with,511 ** $1
related corporate body of work,IRI,aligns with,511 ** $1
related expression of agent,IRI,aligns with,511 ** $1
related expression of family,IRI,aligns with,511 ** $1
related expression of person,IRI,aligns with,511 ** $1
related work of agent,IRI,aligns with,511 ** $1
related work of family,IRI,aligns with,511 ** $1
related work of person,IRI,aligns with,511 ** $1
source consulted,IRI,aligns with,511 ** $1
sponsored corporate body of agent,IRI,aligns with,511 ** $1
sponsored corporate body of collective agent,IRI,aligns with,511 ** $1
sponsored corporate body of corporate body,IRI,aligns with,511 ** $1
sponsored corporate body of family,IRI,aligns with,511 ** $1
sponsored corporate body of person,IRI,aligns with,511 ** $1
sponsoring agent of corporate body,IRI,aligns with,511 ** $1
sponsoring collective agent of corporate body,IRI,aligns with,511 ** $1
sponsoring corporate body of corporate body,IRI,aligns with,511 ** $1
successor of collective agent,IRI,aligns with,511 ** $1
successor of corporate body,IRI,aligns with,511 ** $1
script,identifier,aligns with,511 ** $6
related expression of agent,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t"
related expression of family,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t"
related expression of person,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t"
related work of family,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t"
agent described in,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
collective agent described in,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
corporate body described in,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
critique of work,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
family described in,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
merged to form work,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
merger of work,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
part of work,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
part work,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
person described in,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
preceded by work,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
related work of agent,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
related work of person,structured description,aligns with,"511 ** $a, c, d, e, f, n, p, q, s, t"
absorbed corporate body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
absorbing corporate body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
broader affiliated body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
component of merger,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
corporate body member of corporate body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
founded corporate body of agent,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
founded corporate body of collective agent,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
founded corporate body of corporate body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
founded corporate body of family,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
founded corporate body of person,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
founding agent of corporate body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
founding collective agent of corporate body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
founding corporate body of corporate body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
hierarchical subordinate,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
hierarchical superior,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
jointly held conference,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
local affiliate,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
mergee,structured description,aligns with,"511 ** $a, c, d, e, g, n, q"
