RDA element,RDA recording method,Alignment,M21 Bibliographic encoding
opera adaptation of work,IRI,aligns with,730 ** $1
adapted as musical theatre work,unstructured description,aligns with,500 ** $a
adapted as musical theatre work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
adapted as musical theatre work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
adapted as musical theatre work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
adapted as musical theatre work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
adapted as musical theatre work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
adapted as musical theatre work,identifier,aligns with,700 ** $0
adapted as musical theatre work,identifier,aligns with,700 ** $x
adapted as musical theatre work,identifier,aligns with,710 ** $0
adapted as musical theatre work,identifier,aligns with,710 ** $x
adapted as musical theatre work,identifier,aligns with,711 ** $0
adapted as musical theatre work,identifier,aligns with,711 ** $x
adapted as musical theatre work,identifier,aligns with,730 ** $0
adapted as musical theatre work,identifier,aligns with,730 ** $x
adapted as musical theatre work,identifier,aligns with,787 ** $o
adapted as musical theatre work,identifier,aligns with,787 ** $r
adapted as musical theatre work,identifier,aligns with,787 ** $u
adapted as musical theatre work,identifier,aligns with,787 ** $w
adapted as musical theatre work,identifier,aligns with,787 ** $x
adapted as musical theatre work,identifier,aligns with,787 ** $y
adapted as musical theatre work,IRI,aligns with,700 ** $1
adapted as musical theatre work,IRI,aligns with,710 ** $1
adapted as musical theatre work,IRI,aligns with,711 ** $1
adapted as musical theatre work,IRI,aligns with,730 ** $1
adapted as opera work,unstructured description,aligns with,500 ** $a
adapted as opera work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
adapted as opera work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
adapted as opera work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
adapted as opera work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
adapted as opera work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
adapted as opera work,identifier,aligns with,700 ** $0
adapted as opera work,identifier,aligns with,700 ** $x
adapted as opera work,identifier,aligns with,710 ** $0
adapted as opera work,identifier,aligns with,710 ** $x
adapted as opera work,identifier,aligns with,711 ** $0
adapted as opera work,identifier,aligns with,711 ** $x
adapted as opera work,identifier,aligns with,730 ** $0
adapted as opera work,identifier,aligns with,730 ** $x
adapted as opera work,identifier,aligns with,787 ** $o
adapted as opera work,identifier,aligns with,787 ** $r
adapted as opera work,identifier,aligns with,787 ** $u
adapted as opera work,identifier,aligns with,787 ** $w
adapted as opera work,identifier,aligns with,787 ** $x
adapted as opera work,identifier,aligns with,787 ** $y
adapted as opera work,IRI,aligns with,700 ** $1
adapted as opera work,IRI,aligns with,710 ** $1
adapted as opera work,IRI,aligns with,711 ** $1
adapted as opera work,IRI,aligns with,730 ** $1
music work,unstructured description,aligns with,500 ** $a
music work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
music work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
music work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
music work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
music work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
music work,identifier,aligns with,700 ** $0
music work,identifier,aligns with,700 ** $x
music work,identifier,aligns with,710 ** $0
music work,identifier,aligns with,710 ** $x
music work,identifier,aligns with,711 ** $0
music work,identifier,aligns with,711 ** $x
music work,identifier,aligns with,730 ** $0
music work,identifier,aligns with,730 ** $x
music work,identifier,aligns with,787 ** $o
music work,identifier,aligns with,787 ** $r
music work,identifier,aligns with,787 ** $u
music work,identifier,aligns with,787 ** $w
music work,identifier,aligns with,787 ** $x
music work,identifier,aligns with,787 ** $y
music work,IRI,aligns with,700 ** $1
music work,IRI,aligns with,710 ** $1
music work,IRI,aligns with,711 ** $1
music work,IRI,aligns with,730 ** $1
music for work,unstructured description,aligns with,500 ** $a
music for work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
music for work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
music for work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
music for work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
music for work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
music for work,identifier,aligns with,700 ** $0
music for work,identifier,aligns with,700 ** $x
music for work,identifier,aligns with,710 ** $0
music for work,identifier,aligns with,710 ** $x
music for work,identifier,aligns with,711 ** $0
music for work,identifier,aligns with,711 ** $x
music for work,identifier,aligns with,730 ** $0
music for work,identifier,aligns with,730 ** $x
music for work,identifier,aligns with,787 ** $o
music for work,identifier,aligns with,787 ** $r
music for work,identifier,aligns with,787 ** $u
music for work,identifier,aligns with,787 ** $w
music for work,identifier,aligns with,787 ** $x
music for work,identifier,aligns with,787 ** $y
music for work,IRI,aligns with,700 ** $1
music for work,IRI,aligns with,710 ** $1
music for work,IRI,aligns with,711 ** $1
music for work,IRI,aligns with,730 ** $1
video music work,unstructured description,aligns with,500 ** $a
video music work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
video music work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
video music work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
video music work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
video music work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
video music work,identifier,aligns with,700 ** $0
video music work,identifier,aligns with,700 ** $x
video music work,identifier,aligns with,710 ** $0
video music work,identifier,aligns with,710 ** $x
video music work,identifier,aligns with,711 ** $0
video music work,identifier,aligns with,711 ** $x
video music work,identifier,aligns with,730 ** $0
video music work,identifier,aligns with,730 ** $x
video music work,identifier,aligns with,787 ** $o
video music work,identifier,aligns with,787 ** $r
video music work,identifier,aligns with,787 ** $u
video music work,identifier,aligns with,787 ** $w
video music work,identifier,aligns with,787 ** $x
video music work,identifier,aligns with,787 ** $y
video music work,IRI,aligns with,700 ** $1
video music work,IRI,aligns with,710 ** $1
video music work,IRI,aligns with,711 ** $1
video music work,IRI,aligns with,730 ** $1
music for video work,unstructured description,aligns with,500 ** $a
music for video work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
music for video work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
music for video work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
music for video work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
music for video work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
music for video work,identifier,aligns with,700 ** $0
music for video work,identifier,aligns with,700 ** $x
music for video work,identifier,aligns with,710 ** $0
music for video work,identifier,aligns with,710 ** $x
music for video work,identifier,aligns with,711 ** $0
music for video work,identifier,aligns with,711 ** $x
music for video work,identifier,aligns with,730 ** $0
music for video work,identifier,aligns with,730 ** $x
music for video work,identifier,aligns with,787 ** $o
music for video work,identifier,aligns with,787 ** $r
music for video work,identifier,aligns with,787 ** $u
music for video work,identifier,aligns with,787 ** $w
music for video work,identifier,aligns with,787 ** $x
music for video work,identifier,aligns with,787 ** $y
music for video work,IRI,aligns with,700 ** $1
music for video work,IRI,aligns with,710 ** $1
music for video work,IRI,aligns with,711 ** $1
music for video work,IRI,aligns with,730 ** $1
television program music work,unstructured description,aligns with,500 ** $a
television program music work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
television program music work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
television program music work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
television program music work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
television program music work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
television program music work,identifier,aligns with,700 ** $0
television program music work,identifier,aligns with,700 ** $x
television program music work,identifier,aligns with,710 ** $0
television program music work,identifier,aligns with,710 ** $x
television program music work,identifier,aligns with,711 ** $0
television program music work,identifier,aligns with,711 ** $x
television program music work,identifier,aligns with,730 ** $0
television program music work,identifier,aligns with,730 ** $x
television program music work,identifier,aligns with,787 ** $o
television program music work,identifier,aligns with,787 ** $r
television program music work,identifier,aligns with,787 ** $u
television program music work,identifier,aligns with,787 ** $w
television program music work,identifier,aligns with,787 ** $x
television program music work,identifier,aligns with,787 ** $y
television program music work,IRI,aligns with,700 ** $1
television program music work,IRI,aligns with,710 ** $1
television program music work,IRI,aligns with,711 ** $1
television program music work,IRI,aligns with,730 ** $1
music for television program work,unstructured description,aligns with,500 ** $a
music for television program work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
music for television program work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
music for television program work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
