*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type,See Also[0]
has colourist corporate body,rdae:colouristCorporateBody.en,"Relates an expression to a corporate body who contributes to an expression by applying colour to drawings, prints, photographs, maps, moving images, or other content.",,colorist corporate body,,,colourist corporate body,"A corporate body who contributes to an expression by applying colour to drawings, prints, photographs, maps, moving images, or other content.",rdae:P20458,property,rdac:C10006,rdae:P20485,rdae:P20399,,Published,,2,
has makeup artist corporate body,rdae:makeupArtistCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by applying makeup and prosthetics for a moving image production or for a musical or dramatic presentation or entertainment.,,,,,makeup artist corporate body,A corporate body who contributes to an expression by applying makeup and prosthetics for a moving image production or for a musical or dramatic presentation or entertainment.,rdae:P20459,property,rdac:C10006,rdae:P20484,rdae:P20400,,Published,,2,
has musical director corporate body,rdae:musicalDirectorCorporateBody.en,"Relates an expression to a corporate body who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",,,,,musical director corporate body,"A corporate body who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",rdae:P20460,property,rdac:C10006,rdae:P20484,rdae:P20401,,Published,,2,
has sound designer corporate body,rdae:soundDesignerCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by designing and creating audio or sound components.,,,,,sound designer corporate body,A corporate body who contributes to an expression by designing and creating audio or sound components.,rdae:P20461,property,rdac:C10006,rdae:P20484,rdae:P20402,,Published,,2,
has lighting designer corporate body,rdae:lightingDesignerCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by designing and creating lighting components.,,,,,lighting designer corporate body,A corporate body who contributes to an expression by designing and creating lighting components.,rdae:P20462,property,rdac:C10006,rdae:P20484,rdae:P20403,,Published,,2,
has costume designer corporate body,rdae:costumeDesignerCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.,,,,,costume designer corporate body,A corporate body who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.,rdae:P20463,property,rdac:C10006,rdae:P20484,rdae:P20404,,Published,,2,
has translator corporate body,rdae:translatorCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.,A translator may also translate linguistic content between forms of the same language from different time periods.,,,,translator corporate body,A corporate body who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.,rdae:P20464,property,rdac:C10006,rdae:P20507,rdae:P20405,,Published,,2,
has reviser corporate body,rdae:reviserCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by making changes to the content of another expression.,,,,,reviser corporate body,A corporate body who contributes to an expression by making changes to the content of another expression.,rdae:P20465,property,rdac:C10006,rdae:P20507,rdae:P20406,,Published,,2,
has audio engineer corporate body,rdae:audioEngineerCorporateBody.en,"Relates an expression to a corporate body who contributes to an expression by managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",,,,,audio engineer corporate body,"A corporate body who contributes to an expression by managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",rdae:P20466,property,rdac:C10006,rdae:P20484,rdae:P20407,,Published,,2,
has DJ corporate body,rdae:djCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by mixing recorded tracks together during a live performance or in a recording studio to appear as one continuous track.,"Remixing activities that substantially change the nature and content of an original work, resulting in a new work, and mixing and assembling the multiple tracks of a recording, are excluded.",,,,DJ corporate body,A corporate body who contributes to an expression by mixing recorded tracks together during a live performance or in a recording studio to appear as one continuous track.,rdae:P20467,property,rdac:C10006,rdae:P20484,rdae:P20408,,Published,,2,
has art director corporate body,rdae:artDirectorCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.,,,,,art director corporate body,A corporate body who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.,rdae:P20468,property,rdac:C10006,rdae:P20484,rdae:P20409,,Published,,2,
has performer corporate body,rdae:performerCorporateBody.en,"Relates an expression to a corporate body who contributes to an expression by performing music, acting, dancing, speaking, and other roles, often in a musical or dramatic presentation.",,,,,performer corporate body,"A corporate body who contributes to an expression by performing music, acting, dancing, speaking, and other roles, often in a musical or dramatic presentation.",rdae:P20469,property,rdac:C10006,rdae:P20484,rdae:P20410,,Published,,2,
has court reporter corporate body,rdae:courtReporterCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by preparing the opinions of a court for publication.,,,,,court reporter corporate body,A corporate body who contributes to an expression by preparing the opinions of a court for publication.,rdae:P20470,property,rdac:C10006,rdae:P20485,rdae:P20411,,Published,,2,
has software developer corporate body,rdae:softwareDeveloperCorporateBody.en,"Relates an expression to a corporate body who contributes to an expression by researching, designing, implementing, or testing software.",,,,,software developer corporate body,"A corporate body who contributes to an expression by researching, designing, implementing, or testing software.",rdae:P20471,property,rdac:C10006,rdae:P20485,rdae:P20412,,Published,,2,
has interviewee corporate body of expression,rdae:intervieweeCorporateBodyOfExpression.en,"Relates an expression to a corporate body who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",,,,,interviewee corporate body of expression,"A corporate body who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",rdae:P20472,property,rdac:C10006,rdae:P20484,rdae:P20413,,Published,,2,
has restorationist corporate body of expression,rdae:restorationistCorporateBodyOfExpression.en,"Relates an expression to a corporate body who contributes to an expression by restoring or combining earlier expressions, which may be damaged or fragmentary, to create a new expression.",,,,,restorationist corporate body of expression,"A corporate body who contributes to an expression by restoring or combining earlier expressions, which may be damaged or fragmentary, to create a new expression.",rdae:P20473,property,rdac:C10006,rdae:P20465,rdae:P20414,,Published,,2,
has censor corporate body,rdae:censorCorporateBody.en,"Relates an expression to a corporate body who contributes to an expression by revising the content of another expression for the purpose of suppressing content deemed objectionable on moral, political, military, or other grounds, but leaving the nature and general content substantially unchanged.",Substantial modification that results in the creation of a new work is excluded.,,,,censor corporate body,"A corporate body who contributes to an expression by revising the content of another expression for the purpose of suppressing content deemed objectionable on moral, political, military, or other grounds, but leaving the nature and general content substantially unchanged.",rdae:P20474,property,rdac:C10006,rdae:P20465,rdae:P20415,,Published,,2,
has abridger corporate body,rdae:abridgerCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by shortening an expression of a related work without changing the general meaning or manner of presentation.,Substantial modification that results in the creation of a new work is excluded.,,,,abridger corporate body,A corporate body who contributes to an expression by shortening an expression of a related work without changing the general meaning or manner of presentation.,rdae:P20475,property,rdac:C10006,rdae:P20465,rdae:P20416,,Published,,2,
has recordist corporate body,rdae:recordistCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by using a recording device to capture sound or video during a recording session.,"Includes field recordings of natural sounds, music performances, and other events.",,,,recordist corporate body,A corporate body who contributes to an expression by using a recording device to capture sound or video during a recording session.,rdae:P20476,property,rdac:C10006,rdae:P20484,rdae:P20417,,Published,,2,
has transcriber corporate body,rdae:transcriberCorporateBody.en,"Relates an expression to a corporate body who contributes to an expression by writing down or notating unwritten or unnotated content, or by changing it from one system of notation to another.",Transcription of a musical work for a different instrument or performing group is excluded.,,,,transcriber corporate body,"A corporate body who contributes to an expression by writing down or notating unwritten or unnotated content, or by changing it from one system of notation to another.",rdae:P20477,property,rdac:C10006,rdae:P20465,rdae:P20418,,Published,,2,
has special effects provider corporate body,rdae:specialEffectsProviderCorporateBody.en,Relates an expression to a corporate body who contributes to an expression of a moving image or audio work by designing and creating on-set special effects such as on-set mechanical effects and in-camera optical effects.,,,,,special effects provider corporate body,A corporate body who contributes to an expression of a moving image or audio work by designing and creating on-set special effects such as on-set mechanical effects and in-camera optical effects.,rdae:P20478,property,rdac:C10006,rdae:P20484,rdae:P20419,,Published,,2,
has visual effects provider corporate body,rdae:visualEffectsProviderCorporateBody.en,Relates an expression to a corporate body who contributes to an expression of a moving image work by designing and creating post-production visual effects.,,,,,visual effects provider corporate body,A corporate body who contributes to an expression of a moving image work by designing and creating post-production visual effects.,rdae:P20479,property,rdac:C10006,rdae:P20484,rdae:P20420,,Published,,2,
has music programmer corporate body,rdae:musicProgrammerCorporateBody.en,Relates an expression to a corporate body who contributes to an expression of a musical work by using electronic audio devices or computer software to generate sounds.,The creation of a new musical work is excluded.,,,,music programmer corporate body,A corporate body who contributes to an expression of a musical work by using electronic audio devices or computer software to generate sounds.,rdae:P20480,property,rdac:C10006,rdae:P20484,rdae:P20421,,Published,,2,
has onscreen participant corporate body,rdae:onscreenParticipantCorporateBody.en,Relates an expression to a corporate body who contributes to an expression of a nonfiction moving image work by taking an active role as a participant.,Appearance on screen to provide contextual or background information is excluded.,,,,onscreen participant corporate body,A corporate body who contributes to an expression of a nonfiction moving image work by taking an active role as a participant.,rdae:P20481,property,rdac:C10006,rdae:P20484,rdae:P20422,,Published,,2,
has stage director corporate body,rdae:stageDirectorCorporateBody.en,Relates an expression to a corporate body who contributes to an expression of a stage work through the general management and supervision of a performance.,,,,,stage director corporate body,A corporate body who contributes to an expression of a stage work through the general management and supervision of a performance.,rdae:P20482,property,rdac:C10006,rdae:P20484,rdae:P20423,,Published,,2,
has arranger corporate body of music,rdae:arrangerCorporateBodyOfMusic.en,Relates an expression to a corporate body who contributes to an expression of a work by rewriting a composition for a medium of performance different from that for which a work was originally intended.,"Contribution includes modification of a work for the same medium of performance, etc., that keeps the musical substance of the original composition essentially unchanged, and excludes substantial modification that results in the creation of a new musical work.",,,,arranger corporate body of music,A corporate body who contributes to an expression of a work by rewriting a composition for a medium of performance different from that for which a work was originally intended.,rdae:P20483,property,rdac:C10006,rdae:P20465,rdae:P20424,,Published,,2,
has contributor corporate body to performance,rdae:contributorCorporateBodyToPerformance.en,Relates an expression to a corporate body who contributes to an expression that is a performance.,,,,,contributor corporate body to performance,A corporate body who contributes to an expression that is a performance.,rdae:P20484,property,rdac:C10006,rdae:P20485,rdae:P20425,,Published,,2,
has contributor corporate body to amalgamation,rdae:contributorCorporateBodyToAmalgamation.en,Relates an expression to a corporate body who contributes to an expression that is a seamless mix of kinds of content.,,,,,contributor corporate body to amalgamation,A corporate body who contributes to an expression that is a seamless mix of kinds of content.,rdae:P20485,property,rdac:C10006,rdae:P20507,rdae:P20426,,Published,,2,
has instrumental conductor corporate body,rdae:instrumentalConductorCorporateBody.en,Relates an expression to a corporate body who is a conductor who contributes to an expression by leading an instrumental performing group in a musical or dramatic presentation.,,,,,instrumental conductor corporate body,A corporate body who is a conductor who contributes to an expression by leading an instrumental performing group in a musical or dramatic presentation.,rdae:P20486,property,rdac:C10006,rdae:P20501,rdae:P20427,,Published,,2,
has actor corporate body,rdae:actorCorporateBody.en,Relates an expression to a corporate body who is a performer who contributes to an expression by acting as a cast member or player in a musical or dramatic presentation.,,,,,actor corporate body,A corporate body who is a performer who contributes to an expression by acting as a cast member or player in a musical or dramatic presentation.,rdae:P20487,property,rdac:C10006,rdae:P20469,rdae:P20428,,Published,,2,
has onscreen presenter corporate body,rdae:onscreenPresenterCorporateBody.en,Relates an expression to a corporate body who is a performer who contributes to an expression by appearing on screen to provide contextual or background information.,Appearance in nonfiction moving image materials or in introductions to fiction moving image materials is included. Appearance on screen in a non-performing role is excluded.,,,,onscreen presenter corporate body,A corporate body who is a performer who contributes to an expression by appearing on screen to provide contextual or background information.,rdae:P20488,property,rdac:C10006,rdae:P20469,rdae:P20429,,Published,,2,
has dancer corporate body,rdae:dancerCorporateBody.en,Relates an expression to a corporate body who is a performer who contributes to an expression by dancing in a musical or dramatic presentation.,,,,,dancer corporate body,A corporate body who is a performer who contributes to an expression by dancing in a musical or dramatic presentation.,rdae:P20489,property,rdac:C10006,rdae:P20469,rdae:P20430,,Published,,2,
has host corporate body,rdae:hostCorporateBody.en,"Relates an expression to a corporate body who is a performer who contributes to an expression by leading a program, often broadcast, that includes other performers.",,,,,host corporate body,"A corporate body who is a performer who contributes to an expression by leading a program, often broadcast, that includes other performers.",rdae:P20490,property,rdac:C10006,rdae:P20469,rdae:P20431,,Published,,2,
has moderator corporate body,rdae:moderatorCorporateBody.en,"Relates an expression to a corporate body who is a performer who contributes to an expression by leading a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",,,,,moderator corporate body,"A corporate body who is a performer who contributes to an expression by leading a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",rdae:P20491,property,rdac:C10006,rdae:P20469,rdae:P20432,,Published,,2,
has puppeteer corporate body,rdae:puppeteerCorporateBody.en,"Relates an expression to a corporate body who is a performer who contributes to an expression by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment.",,,,,puppeteer corporate body,"A corporate body who is a performer who contributes to an expression by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment.",rdae:P20492,property,rdac:C10006,rdae:P20469,rdae:P20433,,Published,,2,
has panelist corporate body,rdae:panelistCorporateBody.en,"Relates an expression to a corporate body who is a performer who contributes to an expression by participating in a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",,,,,panelist corporate body,"A corporate body who is a performer who contributes to an expression by participating in a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",rdae:P20493,property,rdac:C10006,rdae:P20469,rdae:P20434,,Published,,2,
has instrumentalist corporate body,rdae:instrumentalistCorporateBody.en,Relates an expression to a corporate body who is a performer who contributes to an expression by playing a musical instrument.,,,,,instrumentalist corporate body,A corporate body who is a performer who contributes to an expression by playing a musical instrument.,rdae:P20494,property,rdac:C10006,rdae:P20469,rdae:P20435,,Published,,2,
has commentator corporate body,rdae:commentatorCorporateBody.en,"Relates an expression to a corporate body who is a performer who contributes to an expression by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",,,,,commentator corporate body,"A corporate body who is a performer who contributes to an expression by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",rdae:P20495,property,rdac:C10006,rdae:P20469,rdae:P20436,,Published,,2,
has narrator corporate body,rdae:narratorCorporateBody.en,"Relates an expression to a corporate body who is a performer who contributes to an expression by reading aloud or giving an account of an act, occurrence, or other event.",,,,,narrator corporate body,"A corporate body who is a performer who contributes to an expression by reading aloud or giving an account of an act, occurrence, or other event.",rdae:P20496,property,rdac:C10006,rdae:P20469,rdae:P20437,,Published,,2,
has storyteller corporate body,rdae:storytellerCorporateBody.en,Relates an expression to a corporate body who is a performer who contributes to an expression by relaying a story with dramatic or theatrical interpretation.,,,,,storyteller corporate body,A corporate body who is a performer who contributes to an expression by relaying a story with dramatic or theatrical interpretation.,rdae:P20497,property,rdac:C10006,rdae:P20469,rdae:P20438,,Published,,2,
has speaker corporate body,rdae:speakerCorporateBody.en,Relates an expression to a corporate body who is a performer who contributes to an expression by speaking words.,Includes a lecture or speech.,,,,speaker corporate body,A corporate body who is a performer who contributes to an expression by speaking words.,rdae:P20498,property,rdac:C10006,rdae:P20469,rdae:P20439,,Published,,2,
has instructor corporate body,rdae:instructorCorporateBody.en,Relates an expression to a corporate body who is a performer who contributes to an expression by teaching or providing a demonstration.,,,,,instructor corporate body,A corporate body who is a performer who contributes to an expression by teaching or providing a demonstration.,rdae:P20499,property,rdac:C10006,rdae:P20469,rdae:P20440,,Published,,2,
has singer corporate body,rdae:singerCorporateBody.en,"Relates an expression to a corporate body who is a performer who contributes to an expression by using their voice, with or without instrumental accompaniment, to produce music.",A performance of a singer may or may not include actual words.,,,,singer corporate body,"A corporate body who is a performer who contributes to an expression by using their voice, with or without instrumental accompaniment, to produce music.",rdae:P20500,property,rdac:C10006,rdae:P20469,rdae:P20441,,Published,,2,
has conductor corporate body,rdae:conductorCorporateBody.en,Relates an expression to a corporate body who is a performer who contributes to an expression of a musical work by leading a performing group in a musical or dramatic presentation.,,,,,conductor corporate body,A corporate body who is a performer who contributes to an expression of a musical work by leading a performing group in a musical or dramatic presentation.,rdae:P20501,property,rdac:C10006,rdae:P20469,rdae:P20442,,Published,,2,
has voice actor corporate body,rdae:voiceActorCorporateBody.en,"Relates an expression to a corporate body who is an actor who contributes to an expression by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice-overs in radio and television commercials, dubbed expressions, etc.",,,,,voice actor corporate body,"A corporate body who is an actor who contributes to an expression by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice-overs in radio and television commercials, dubbed resources, etc.",rdae:P20502,property,rdac:C10006,rdae:P20487,rdae:P20443,,Published,,2,
has mixing engineer corporate body,rdae:mixingEngineerCorporateBody.en,"Relates an expression to a corporate body who is an audio engineer who contributes to the audio content of an expression by manipulating, mixing, and assembling the multiple tracks of a recording.","Remixing activities that substantially change the nature and content of the original work, resulting in a new work, are excluded.",,,,mixing engineer corporate body,"A corporate body who is an audio engineer who contributes to the audio content of an expression by manipulating, mixing, and assembling the multiple tracks of a recording.",rdae:P20503,property,rdac:C10006,rdae:P20466,rdae:P20444,,Published,,2,
has recording engineer corporate body,rdae:recordingEngineerCorporateBody.en,Relates an expression to a corporate body who is an audio engineer who contributes to the audio content of an expression by supervising the technical aspects of a recording session.,,,,,recording engineer corporate body,A corporate body who is an audio engineer who contributes to the audio content of an expression by supervising the technical aspects of a recording session.,rdae:P20504,property,rdac:C10006,rdae:P20466,rdae:P20445,,Published,,2,
has letterer corporate body,rdae:lettererCorporateBody.en,"Relates an expression to a corporate body who contributes to an expression of a comic book, graphic novel, etc., by drawing the text and graphic sound effects.",,,,,letterer corporate body,"A corporate body who contributes to an expression of a comic book, graphic novel, etc., by drawing the text and graphic sound effects.",rdae:P20505,property,rdac:C10006,rdae:P20485,rdae:P20446,,Published,,2,
has presenter corporate body,rdae:presenterCorporateBody.en,"Relates an expression to a corporate body who is included in statement of an &quot;X presents:&quot; credit in a manifestation that embodies an expression and who is probably associated with production, finance, or distribution of an expression of a moving image work in some way.",,,,,presenter corporate body,"A corporate body who is included in statement of an &quot;X presents:&quot; credit in a manifestation that embodies an expression and who is probably associated with production, finance, or distribution of an expression of a moving image work in some way.",rdae:P20506,property,rdac:C10006,rdae:P20469,rdae:P20447,,Published,,2,
has creator corporate body of expression,rdae:creatorCorporateBodyOfExpression.en,Relates an expression to a corporate body who is responsible for a realization of a work.,"A creator of expression includes a translator, arranger of music, performer, etc. A creator of a work that is realized by an expression is also a creator of expression.",,,,creator corporate body of expression,A corporate body who is responsible for a realization of a work.,rdae:P20507,property,rdac:C10006,rdae:P20304,rdae:P20448,,Published,,2,
has editor corporate body of moving image work,rdae:editorCorporateBodyOfMovingImageWork.en,"Relates an expression to a corporate body who is responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects.",,,,,editor corporate body of moving image work,"A corporate body who is responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects.",rdae:P20508,property,rdac:C10006,rdae:P20484,rdae:P20449,,Published,,2,
has production designer corporate body,rdae:productionDesignerCorporateBody.en,Relates an expression to a corporate body who is responsible for designing the overall visual appearance of a moving image production.,,,,,production designer corporate body,A corporate body who is responsible for designing the overall visual appearance of a moving image production.,rdae:P20509,property,rdac:C10006,rdae:P20484,rdae:P20450,,Published,,2,
has minute taker corporate body,rdae:minuteTakerCorporateBody.en,Relates an expression to a corporate body who is responsible for recording the minutes of a meeting.,,,,,minute taker corporate body,A corporate body who is responsible for recording the minutes of a meeting.,rdae:P20510,property,rdac:C10006,rdae:P20485,rdae:P20451,,Published,,2,
has dubbing director corporate body,rdae:dubbingDirectorCorporateBody.en,Relates an expression to a corporate body who is responsible for the general management and supervision of the process of adding new dialogue or other sounds to complete a soundtrack for an expression.,,,,,dubbing director corporate body,A corporate body who is responsible for the general management and supervision of the process of adding new dialogue or other sounds to complete a soundtrack for an expression.,rdae:P20511,property,rdac:C10006,rdae:P20484,rdae:P20452,,Published,,2,
has animator corporate body,rdae:animatorCorporateBody.en,Relates an expression to a corporate body who contributes to an expression by giving apparent movement to inanimate objects or drawings.,Creation of the drawings that are animated is excluded.,,,,animator corporate body,A corporate body who contributes to an expression by giving apparent movement to inanimate objects or drawings.,rdae:P20512,property,rdac:C10006,rdae:P20484,rdae:P20453,,Published,,2,
has choral conductor family,rdae:choralConductorFamily.en,Relates an expression to a family who is a conductor who contributes to an expression by leading a choral performing group in a musical or dramatic presentation.,,,,,choral conductor family,A family who is a conductor who contributes to an expression by leading a choral performing group in a musical or dramatic presentation.,rdae:P20513,property,rdac:C10006,rdae:P20560,rdae:P20395,,Published,,2,
has interviewer family of expression,rdae:interviewerFamilyOfExpression.en,"Relates an expression to a family who contributes to an expression by acting as an interviewer, reporter, pollster, or some other family who gathers information.",,,,,interviewer family of expression,"A family who contributes to an expression by acting as an interviewer, reporter, pollster, or some other family who gathers information.",rdae:P20514,property,rdac:C10006,rdae:P20543,rdae:P20396,,Published,,2,
has editor family,rdae:editorFamily.en,Relates an expression to a family who contributes to an expression by amending content created by other agents in order to meet standards for publication or other use.,"Content includes notated movement, notated music, tactile notated movement, tactile notated music, tactile text, and text.",editor family of text,,,editor family,A family who contributes to an expression by amending content created by other agents in order to meet standards for publication or other use.,rdae:P20515,property,rdac:C10006,rdae:P20544,rdae:P20397,,Published,,2,
has draftsman family,rdae:draftsmanFamily.en,"Relates an expression to a family who contributes to an expression by an architect, inventor, or other agent by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, or other constructions.",,,,,draftsman family,"A family who contributes to an expression by an architect, inventor, or other agent by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, or other constructions.",rdae:P20516,property,rdac:C10006,rdae:P20544,rdae:P20398,,Published,,2,
has colourist family,rdae:colouristFamily.en,"Relates an expression to a family who contributes to an expression by applying colour to drawings, prints, photographs, maps, moving images, or other content.",,colorist family,,,colourist family,"A family who contributes to an expression by applying colour to drawings, prints, photographs, maps, moving images, or other content.",rdae:P20517,property,rdac:C10006,rdae:P20544,rdae:P20399,,Published,,2,
has makeup artist family,rdae:makeupArtistFamily.en,Relates an expression to a family who contributes to an expression by applying makeup and prosthetics for a moving image production or for a musical or dramatic presentation or entertainment.,,,,,makeup artist family,A family who contributes to an expression by applying makeup and prosthetics for a moving image production or for a musical or dramatic presentation or entertainment.,rdae:P20518,property,rdac:C10006,rdae:P20543,rdae:P20400,,Published,,2,
has musical director family,rdae:musicalDirectorFamily.en,"Relates an expression to a family who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",,,,,musical director family,"A family who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",rdae:P20519,property,rdac:C10006,rdae:P20543,rdae:P20401,,Published,,2,
has sound designer family,rdae:soundDesignerFamily.en,Relates an expression to a family who contributes to an expression by designing and creating audio or sound components.,,,,,sound designer family,A family who contributes to an expression by designing and creating audio or sound components.,rdae:P20520,property,rdac:C10006,rdae:P20543,rdae:P20402,,Published,,2,
has lighting designer family,rdae:lightingDesignerFamily.en,Relates an expression to a family who contributes to an expression by designing and creating lighting components.,,,,,lighting designer family,A family who contributes to an expression by designing and creating lighting components.,rdae:P20521,property,rdac:C10006,rdae:P20543,rdae:P20403,,Published,,2,
has costume designer family,rdae:costumeDesignerFamily.en,Relates an expression to a family who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.,,,,,costume designer family,A family who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.,rdae:P20522,property,rdac:C10006,rdae:P20543,rdae:P20404,,Published,,2,
has translator family,rdae:translatorFamily.en,Relates an expression to a family who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.,A translator may also translate linguistic content between forms of the same language from different time periods.,,,,translator family,A family who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.,rdae:P20523,property,rdac:C10006,rdae:P20566,rdae:P20405,,Published,,2,
has reviser family,rdae:reviserFamily.en,Relates an expression to a family who contributes to an expression by making changes to the content of another expression.,,,,,reviser family,A family who contributes to an expression by making changes to the content of another expression.,rdae:P20524,property,rdac:C10006,rdae:P20566,rdae:P20406,,Published,,2,
has audio engineer family,rdae:audioEngineerFamily.en,"Relates an expression to a family who contributes to an expression by managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",,,,,audio engineer family,"A family who contributes to an expression by managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",rdae:P20525,property,rdac:C10006,rdae:P20543,rdae:P20407,,Published,,2,
has DJ family,rdae:djFamily.en,Relates an expression to a family who contributes to an expression by mixing recorded tracks together during a live performance or in a recording studio to appear as one continuous track.,"Remixing activities that substantially change the nature and content of an original work, resulting in a new work, and mixing and assembling the multiple tracks of a recording, are excluded.",,,,DJ family,A family who contributes to an expression by mixing recorded tracks together during a live performance or in a recording studio to appear as one continuous track.,rdae:P20526,property,rdac:C10006,rdae:P20543,rdae:P20408,,Published,,2,
has art director family,rdae:artDirectorFamily.en,Relates an expression to a family who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.,,,,,art director family,A family who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.,rdae:P20527,property,rdac:C10006,rdae:P20543,rdae:P20409,,Published,,2,
has performer family,rdae:performerFamily.en,"Relates an expression to a family who contributes to an expression by performing music, acting, dancing, speaking, and other roles, often in a musical or dramatic presentation.",,,,,performer family,"A family who contributes to an expression by performing music, acting, dancing, speaking, and other roles, often in a musical or dramatic presentation.",rdae:P20528,property,rdac:C10006,rdae:P20543,rdae:P20410,,Published,,2,
has court reporter family,rdae:courtReporterFamily.en,Relates an expression to a family who contributes to an expression by preparing the opinions of a court for publication.,,,,,court reporter family,A family who contributes to an expression by preparing the opinions of a court for publication.,rdae:P20529,property,rdac:C10006,rdae:P20544,rdae:P20411,,Published,,2,
has software developer family,rdae:softwareDeveloperFamily.en,"Relates an expression to a family who contributes to an expression by researching, designing, implementing, or testing software.",,,,,software developer family,"A family who contributes to an expression by researching, designing, implementing, or testing software.",rdae:P20530,property,rdac:C10006,rdae:P20544,rdae:P20412,,Published,,2,
has interviewee family of expression,rdae:intervieweeFamilyOfExpression.en,"Relates an expression to a family who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",,,,,interviewee family of expression,"A family who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",rdae:P20531,property,rdac:C10006,rdae:P20543,rdae:P20413,,Published,,2,
has restorationist family of expression,rdae:restorationistFamilyOfExpression.en,"Relates an expression to a family who contributes to an expression by restoring or combining earlier expressions, which may be damaged or fragmentary, to create a new expression.",,,,,restorationist family of expression,"A family who contributes to an expression by restoring or combining earlier expressions, which may be damaged or fragmentary, to create a new expression.",rdae:P20532,property,rdac:C10006,rdae:P20524,rdae:P20414,,Published,,2,
has censor family,rdae:censorFamily.en,"Relates an expression to a family who contributes to an expression by revising the content of another expression for the purpose of suppressing content deemed objectionable on moral, political, military, or other grounds, but leaving the nature and general content substantially unchanged.",Substantial modification that results in the creation of a new work is excluded.,,,,censor family,"A family who contributes to an expression by revising the content of another expression for the purpose of suppressing content deemed objectionable on moral, political, military, or other grounds, but leaving the nature and general content substantially unchanged.",rdae:P20533,property,rdac:C10006,rdae:P20524,rdae:P20415,,Published,,2,
